Source,Target,Weight20192,Weight20201,Weight20202
s92061a,s92062a,0.1078,0.2,0.3922
s92321a,s92331a,0.6647,0.6493,0.7498
s92321a,s92341a,0.5483,0.5008,0.5423
s92322a,s92332a,0.6229,0.5693,0.7887
s92322a,s92342a,0.5333,0.4037,0.5358
s92324a,s92334a,0.6036,,0.8462
s92325a,s92335a,0.3922,,0.6448
s92331a,s92341a,0.6913,0.5393,0.6377
s92332a,s92342a,0.7868,0.5396,0.6957
s92334a,s92354a,0.1229,,0.3449
s92341a,s92351a,0.3288,0.2317,0.4694
s92342d,s92352d,0.3835,,0.3
t2024xa,t2026xa,0.4358,0.7223,0.4846
t2027xa,t2121xa,0.1888,0.2199,0.3555
t2121xa,t22232a,0.2392,0.2854,0.3492
t2124xa,t2125xa,0.1342,0.3018,0.373
t2131xa,t2132xa,0.4274,0.409,0.4481
t2131xa,t22351a,0.3254,,0.3461
t2133xa,t2134xa,0.2905,0.4038,0.4203
t2133xa,t2135xa,0.3068,0.1471,0.4198
t2133xa,t22311a,0.2427,0.4159,0.3839
t2133xa,t22312a,0.2615,0.3243,0.3297
t2133xa,t22331a,0.2696,0.3523,0.3867
t2133xa,t22332a,0.2754,0.4285,0.319
t2133xa,t3111,0.2206,,0.3321
t2134xa,t2135xa,0.1816,0.2978,0.3434
t2134xa,t22311a,0.11599999999999999,0.2222,0.4156
t2134xa,t22331a,0.1435,0.2905,0.4507
t2134xa,t22332a,0.2498,0.2724,0.3212
t22211a,t22212a,0.48700000000000004,0.4341,0.3989
t22211a,t22231a,0.415,0.5596,0.3583
t22212a,t22232a,0.2865,0.5859,0.39399999999999996
t22231a,t22232a,0.4074,0.3162,0.5137
t22311a,t22312a,0.3342,0.4152,0.5147
t22311a,t22331a,0.5277,0.4975,0.6354
t22311a,t22332a,0.3696,0.4185,0.3682
t22311a,t24331a,0.2436,0.1246,0.3555
t22312a,t22331a,0.3378,0.2236,0.4685
t22312a,t22332a,0.5765,0.5078,0.516
t22331a,t22332a,0.5920000000000001,0.3068,0.4975
t22331a,t22351a,0.1215,,0.3429
t22331a,t24331a,0.2523,0.1342,0.3624
t23201a,t23202a,0.5182,0.4527,0.3836
t23241a,t23251a,0.3805,0.4757,0.3874
t24211a,t24212a,0.4063,0.3448,0.4688
t24212a,t24232a,0.3134,0.0841,0.3275
t24221a,t24222a,0.5827,,0.5287
t24231a,t24232a,0.2623,0.2094,0.5621
t24311a,t24312a,0.3569,0.6071,0.4396
t24311a,t24331a,0.3161,0.4441,0.3661
t24331a,t24332a,0.2981,0.5,0.3883
t25221a,t25222a,0.4704,0.47200000000000003,0.5096
t25321a,t25322a,0.4631,0.4581,0.4707
z051,z20818,0.1636,0.2928,0.3747
z111,z114,0.0694,0.1735,0.3931
z111,z653,0.2894,0.4188,0.3961
z20828,z79899,0.0001,0.1348,0.3961
z23,z3800,0.5389,0.5815,0.5358
z370,z3a39,0.5248,0.5267,0.5198
z430,z431,0.45,0.5365,0.4834
z515,z66,0.4179,0.4379,0.4654
z609,z639,0.3529,0.4359,0.4181
z62810,z62811,0.4532,0.5134,0.5518
z62810,z915,0.282,0.2911,0.3132
z7902,z955,0.28600000000000003,0.2876,0.3094
z7982,z79899,0.3447,0.3691,0.3762
z7982,z87891,0.3028,0.2954,0.3009
z79899,z87891,0.2959,0.3283,0.3351
z8249,z833,0.3242,0.3187,0.3155
z8507,z90411,0.33799999999999997,0.3295,0.3833
z85118,z902,0.2952,0.2943,0.3065
z85528,z905,0.4765,0.4845,0.474
z86711,z86718,0.3414,0.3443,0.3218
z91410,z91411,0.3994,0.3784,0.3278
z9221,z923,0.442,0.4391,0.444
z930,z931,0.2702,0.2747,0.3023
z961,z9841,0.3162,0.3445,0.3134
z961,z9842,0.298,0.3419,0.3204
z9841,z9842,0.8697,0.8571,0.8538
i69222,i69291,,0.2838,0.3747
i82542,i82552,,0.4152,0.4344
j1289,u071,,0.7154,0.7490000000000001
j9601,u071,,0.1255,0.3978
q6601,q6602,,0.6966,0.6019
r402110,r402310,,0.8757,0.8321
r402210,r402310,,0.775,0.4902
s0232xb,s0240db,,0.6081,0.3681
s12200d,s12300d,,0.4656,0.3639
s12591a,s12691a,,0.1725,0.3138
s32018d,s32038d,,0.2445,0.3539
s32028d,s32038d,,0.4545,0.5793
s32028d,s32048d,,0.2767,0.4634
s32038d,s32048d,,0.3874,0.7143
s332xxa,s334xxa,,0.3508,0.3187
s60511d,s60512d,,0.4275,0.7819
s81001a,s81002a,,0.2011,0.41100000000000003
s82231a,s82431a,,0.07400000000000001,0.3288
s82251b,s82451b,,0.2457,0.4055
t2027xa,t2029xa,,0.1265,0.3151
t23241a,t23242a,,0.5212,0.4796
t23242a,t23252a,,0.3801,0.4167
t24321a,t24322a,,0.7243,0.3835
t25021a,t25022a,,0.1725,0.66
h52209,h524,,,0.3835
i129,n1830,,,0.3076
i69218,i69222,,,0.3846
i69219,i69292,,,0.3068
i69222,i69292,,,0.5596
i69291,i69292,,,0.3816
m2602,m26213,,,0.3325
n650,n651,,,0.4441
o318x31,o318x32,,,0.5437
o358xx1,o358xx2,,,0.5
r402131,r402231,,,0.3621
r402140,r402250,,,0.8240000000000001
r402140,r402360,,,0.9057
r402250,r402360,,,0.7807
s0231xb,s0240cb,,,0.3
s0232xb,s0240fb,,,0.589
s0240db,s0240fb,,,0.4667
s0240fb,s02842b,,,0.4135
s0511xd,s0512xd,,,0.4
s06349d,s06359d,,,0.3776
s12690d,s32011d,,,0.3147
s31813a,s31823a,,,0.4311
s32038d,s32058d,,,0.3836
s32048d,s32058d,,,0.4384
s51801d,s51802d,,,0.3805
s6402xa,s65012a,,,0.3922
s66120a,s66122a,,,0.8
s66121a,s66125a,,,0.4757
s66320a,s66322a,,,0.3138
s90821d,s90822d,,,0.6724
s92321d,s92331d,,,0.7243
s92321d,s92341d,,,0.7609999999999999
s92321d,s92351d,,,0.3293
s92331d,s92341d,,,0.9556
s92331d,s92351d,,,0.3776
s92332d,s92342d,,,0.7609999999999999
s92341d,s92351d,,,0.3865
t20211a,t2026xa,,,0.3398
t20211a,t2027xa,,,0.4361
t2022xa,t2024xa,,,0.3748
t22351a,t22352a,,,0.4366
t22352a,t23352a,,,0.3041
t23351a,t24321a,,,0.3288
t24201a,t24202a,,,0.4497
